,constructorId,driverId,fastestLap,fastestLapSpeed,fastestLapTime,grid,laps,milliseconds,number,points,position,positionOrder,positionText,raceId,rank,resultId,statusId,time
23814,5,153,59,152.961,1:18.608,19,66,0,19,0,0,20,R,846,9,20916,4,00:00:00
23815,11,18,59,155.549,1:17.300,13,77,0,12,0,11,11,11,59,10,885,11,00:00:00
23816,131,1,59,165.89,1:49.916,5,61,7206291,10,10,5,5,5,893,4,21980,1,+53.159
23817,5,67,59,166.464,1:49.710,13,60,0,16,0,14,14,14,351,6,20672,11,00:00:00
23818,9,20,59,168.879,1:48.141,2,61,7073872,5,18,2,2,2,351,2,20660,1,+0.293
23819,3,9,59,170.674,1:46.793,19,61,7160691,88,0,16,16,16,1024,18,24501,1,+47.024
23820,4,807,59,172.333,1:45.765,8,61,7130385,27,2,9,9,9,1024,12,24494,1,+16.718
23821,51,841,59,172.553,1:45.630,10,61,7141522,99,1,10,10,10,1024,10,24495,1,+27.855
23822,9,848,59,173.159,1:45.260,6,61,7125330,23,8,6,6,6,1024,9,24491,1,+11.663
23823,6,844,59,174.047,1:44.723,1,61,7116308,16,18,2,2,2,1024,4,24487,1,+2.641
23824,209,833,59,175.497,1:29.868,19,67,0,98,0,15,15,15,936,20,22730,12,00:00:00
23825,164,29,59,176.657,1:29.278,24,66,0,20,0,19,19,19,348,23,20605,14,00:00:00
23826,9,817,59,176.753,1:43.120,6,61,6725593,3,8,6,6,6,1003,3,24068,1,+53.982
23827,166,10,59,179.177,1:28.022,20,66,0,24,0,17,17,17,851,18,21032,14,00:00:00
23828,166,10,59,179.889,1:27.674,18,67,0,24,0,16,16,16,348,19,20602,13,00:00:00
23829,207,808,59,179.981,1:27.629,20,67,0,21,0,19,19,19,870,20,21490,12,00:00:00
23830,3,13,59,181.566,1:26.864,8,69,6444263,19,0,12,12,12,936,6,22727,1,+1:14.278
23831,5,817,59,182.313,1:26.508,18,68,0,16,0,15,15,15,870,17,21486,11,00:00:00
23832,1,815,59,183.086,1:26.143,9,69,0,6,2,9,9,9,890,10,21918,11,00:00:00
23833,208,154,59,183.284,1:26.050,2,69,6076021,10,15,3,3,3,870,13,21474,1,+10.518
23834,3,822,59,184.954,1:25.273,10,69,0,77,2,9,9,9,958,11,23145,11,00:00:00
23835,6,13,59,185.164,1:25.176,7,70,6205892,4,4,8,8,8,890,5,21917,1,+56.447
23836,5,826,59,185.299,1:23.618,18,70,0,26,0,18,18,18,966,14,23330,11,00:00:00
23837,5,826,59,185.645,1:30.269,12,65,0,26,0,14,14,14,904,6,22231,11,00:00:00
23838,6,20,59,186.904,1:24.383,5,70,6058328,5,12,4,4,4,958,4,23140,1,+28.213
23839,5,153,59,190.245,1:37.415,16,59,0,19,0,12,12,12,850,14,21003,11,00:00:00
23840,4,807,59,191.783,1:20.791,12,70,0,27,1,10,10,10,1027,14,24555,11,00:00:00
23841,4,807,59,193.161,1:21.650,11,69,0,27,0,12,12,12,1021,14,24437,11,00:00:00
23842,6,8,59,193.549,1:20.054,5,71,5840559,7,15,3,3,3,986,6,23724,1,+54.007
23843,1,5,59,194.011,1:35.524,6,60,5862002,2,1,8,8,8,9,17,7721,1,+58.692
23844,3,22,59,195.478,1:25.728,17,65,0,9,2,9,9,9,341,12,20427,11,00:00:00
23845,1,1,59,196.526,1:34.302,2,60,5850334,3,25,1,1,1,850,1,20992,1,1:37:30.344
23846,9,20,59,196.814,1:34.164,2,60,6074711,1,25,1,1,1,888,5,21888,1,1:41:14.711
23847,11,22,59,197.258,1:33.952,4,60,5831351,11,4,5,5,5,57,9,835,1,+1:12.586
23848,1,1,59,198.655,1:24.357,3,64,0,2,0,14,14,14,341,1,20432,29,00:00:00
23849,131,822,59,198.807,1:19.331,2,69,0,77,4,8,8,8,1021,3,24433,11,00:00:00
23850,8,19,59,198.811,1:24.291,15,64,0,23,0,11,11,11,39,15,445,11,00:00:00
23851,5,67,59,200.346,1:17.428,14,70,0,18,0,12,12,12,859,13,21219,11,00:00:00
23852,15,821,59,202.702,1:16.528,17,70,0,12,0,12,12,12,899,9,22119,11,00:00:00
23853,6,20,59,203.613,1:17.105,18,70,5563048,5,10,5,5,5,932,2,22660,1,+49.903
23854,1,1,59,203.837,1:17.020,2,70,5549586,4,25,1,1,1,866,6,21376,1,1:32:29.586
23855,5,818,59,204.792,1:30.091,18,59,0,17,0,15,15,15,876,17,21630,11,00:00:00
23856,1,832,59,204.938,1:21.771,7,65,0,55,8,6,6,6,1036,5,24731,11,00:00:00
23857,210,154,59,205.118,1:21.664,18,65,0,8,0,17,17,17,1042,17,24862,11,00:00:00
23858,131,3,59,206.163,1:29.492,10,60,5552438,8,0,11,11,11,876,14,21626,1,+1:21.694
23859,9,17,59,206.361,1:19.794,8,67,5512803,2,4,8,8,8,869,14,21455,1,+46.941
23860,10,16,59,206.632,1:29.289,8,59,0,14,2,9,9,9,857,12,21168,11,00:00:00
23861,6,13,59,206.646,1:29.283,6,60,5515418,6,8,6,6,6,876,11,21621,1,+44.674
23862,5,818,59,206.747,1:19.645,15,67,5542827,17,0,14,14,14,869,11,21461,1,+76.965
23863,3,813,59,206.846,1:19.607,5,66,0,18,0,15,15,15,869,10,21462,11,00:00:00
23864,10,814,59,207.103,1:29.086,16,60,5553559,11,0,12,12,12,876,7,21627,1,+1:22.815
23865,5,153,59,207.216,1:14.861,12,70,0,11,0,14,14,14,16,13,7867,11,00:00:00
23866,9,17,59,207.235,1:29.029,2,60,5483961,2,15,3,3,3,876,6,21618,1,+13.217
23867,1,832,59,207.249,1:20.859,12,66,5782785,55,4,8,8,8,1014,10,24290,1,+32.342
23868,11,18,59,207.498,1:14.759,17,70,0,16,0,13,13,13,35,11,361,11,00:00:00
23869,10,814,59,208.053,1:28.679,12,59,0,15,0,13,13,13,857,8,21172,11,00:00:00
23870,131,3,59,208.158,1:19.105,21,67,5514751,8,1,10,10,10,869,3,21457,1,+48.889
23871,213,826,59,208.216,1:20.449,13,64,0,26,0,19,19,19,1042,8,24864,12,00:00:00
23872,131,3,59,208.239,1:28.600,7,60,5501853,8,8,6,6,6,857,6,21165,1,+1:06.851
23873,6,8,59,208.25,1:15.388,4,70,5643786,7,6,7,7,7,975,3,23505,1,+58.632
23874,1,815,59,208.467,1:28.503,9,60,5516016,6,10,5,5,5,896,4,22046,1,+43.829
23875,1,1,59,208.654,1:14.345,17,71,5562025,1,6,3,3,3,16,6,7856,1,+18.944
23876,6,8,59,209.296,1:14.117,3,71,5667670,1,6,3,3,3,35,3,351,1,+16.235
